GEOID,criteria
25001,NA
21017,NA
21075,NA
24013,Both
22081,Unknown
16079,NA
6019,Unknown
6107,Unknown
16035,NA
37095,NA
48279,Specimen
51139,NA
51049,NA
54097,NA
1039,Persons
1115,Persons
51175,NA
53073,Persons
53025,Persons
53011,Persons
72043,NA
51101,NA
51770,NA
51173,NA
47071,Unknown
55119,Persons
12127,Unknown
18151,Persons
27127,NA
28127,NA
20209,Persons
37127,NA
37145,NA
13035,NA
39033,NA
21037,NA
21083,NA
21009,NA
37155,NA
31027,Unknown
39087,NA
38097,Persons
17127,Specimen
40035,NA
48217,Specimen
31015,Unknown
38099,Persons
1077,Persons
8069,NA
13239,NA
13295,NA
17119,Specimen
19111,Unknown
18153,Persons
12077,Unknown
41009,Persons
6033,Unknown
53037,Persons
12129,Unknown
12131,Unknown
27041,NA
46003,NA
20203,Persons
37037,NA
21149,NA
49011,NA
49057,NA
21159,NA
26083,Specimen
21165,NA
37085,NA
49049,NA
26105,Specimen
54087,NA
54089,NA
55027,Persons
46051,NA
26117,Specimen
47045,Unknown
21183,NA
6053,Unknown
24021,Both
51107,NA
16087,NA
24023,Both
54077,NA
17159,Specimen
24029,Both
47105,Unknown
24031,Both
26005,Specimen
21091,NA
17185,Specimen
2130,Specimen
13107,NA
4025,Specimen
8029,NA
12095,Unknown
16061,NA
17025,Specimen
18017,Persons
19055,Unknown
20031,Persons
31123,Unknown
21239,NA
21113,NA
20167,Persons
21203,NA
21179,NA
27061,NA
28073,NA
28133,NA
36083,Persons
36069,Persons
38061,Persons
37137,NA
13001,NA
40049,NA
40119,NA
40117,NA
47041,Unknown
47153,Unknown
47011,Unknown
48291,Specimen
51087,NA
46027,NA
55055,Persons
72013,NA
1127,Persons
51099,NA
55043,Persons
42045,Unknown
49037,NA
47069,Unknown
55021,Persons
48419,Specimen
48061,Specimen
6075,Unknown
17085,Specimen
27015,NA
27081,NA
37061,NA
18007,Persons
19103,Unknown
19165,Unknown
20083,Persons
28029,NA
35035,Persons
18181,Persons
18085,Persons
38085,Persons
34005,NA
19193,Unknown
21051,NA
41007,Persons
5093,Unknown
12039,Unknown
12045,Unknown
12075,Unknown
26093,Specimen
35019,Persons
42131,Unknown
48223,Specimen
48473,Specimen
36087,Persons
28125,NA
21155,NA
21057,NA
1071,Persons
22105,Unknown
32019,Both
39001,NA
2170,Specimen
9005,NA
39103,NA
37175,NA
1061,Persons
16053,NA
9011,NA
20121,Persons
6081,Unknown
13025,NA
12081,Unknown
13029,NA
22077,Unknown
23011,Specimen
41019,Persons
55023,Persons
48227,Specimen
48257,Specimen
13241,NA
5143,Unknown
36031,Persons
17167,Specimen
22025,Unknown
17139,Specimen
21105,NA
21167,NA
36051,Persons
37097,NA
39159,NA
47033,Unknown
13243,NA
30057,NA
38077,Persons
23015,Specimen
30063,NA
29187,Unknown
8061,NA
8065,NA
48495,Specimen
22083,Unknown
8089,NA
26033,Specimen
8093,NA
41011,Persons
6109,Unknown
22021,Unknown
2122,Specimen
13021,NA
29203,Unknown
21073,NA
22089,Unknown
29015,Unknown
40125,NA
48065,Specimen
51730,NA
29073,Unknown
51143,NA
29125,Unknown
42093,Unknown
5011,Unknown
29069,Unknown
16019,NA
18141,Persons
6091,Unknown
37177,NA
5139,Unknown
32001,Both
51820,NA
55045,Persons
16017,NA
16075,NA
1019,Persons
17195,Specimen
19057,Unknown
26089,Specimen
37021,NA
5031,Unknown
33009,NA
2275,Specimen
5039,Unknown
5041,Unknown
12063,Unknown
13275,NA
28023,NA
72141,NA
54081,NA
37049,NA
72035,NA
26047,Specimen
17007,Specimen
20053,Persons
19015,Unknown
6073,Unknown
48491,Specimen
32021,Both
35001,Persons
51131,NA
6095,Unknown
5129,Unknown
27157,NA
5117,Unknown
39093,NA
48355,Specimen
36075,Persons
8117,NA
51137,NA
38063,Persons
39079,NA
36059,Persons
36065,Persons
31067,Unknown
36071,Persons
36105,Persons
51680,NA
40121,NA
1125,Persons
24001,Both
51069,NA
54079,NA
8077,NA
39117,NA
6041,Unknown
51053,NA
8081,NA
39119,NA
1101,Persons
17133,Specimen
20127,Persons
6035,Unknown
8099,NA
26029,Specimen
5027,Unknown
2261,Specimen
56013,Specimen
27089,NA
27125,NA
5103,Unknown
2282,Specimen
37161,NA
40089,NA
12089,Unknown
53007,Persons
53061,Persons
8017,NA
26129,Specimen
32005,Both
23007,Specimen
19067,Unknown
19073,Unknown
21109,NA
37069,NA
19189,Unknown
28163,NA
30079,NA
37133,NA
27129,NA
37131,NA
55121,Persons
51195,NA
6113,Unknown
55011,Persons
37143,NA
8011,NA
29091,Unknown
36089,Persons
8031,NA
29157,Unknown
36119,Persons
5015,Unknown
48203,Specimen
5047,Unknown
36043,Persons
40139,NA
38055,Persons
13141,NA
16031,NA
48283,Specimen
8075,NA
34041,NA
50017,NA
4013,Specimen
17203,Specimen
20045,Persons
22005,Unknown
8085,NA
36027,Persons
8014,NA
42107,Unknown
47151,Unknown
39065,NA
51169,NA
55067,Persons
1123,Persons
29143,Unknown
30077,NA
6065,Unknown
20049,Persons
35005,Persons
35047,Persons
8015,NA
26141,Specimen
28149,NA
5089,Unknown
48301,Specimen
8001,NA
23031,Specimen
49027,NA
1013,Persons
8037,NA
22007,Unknown
34027,NA
17029,Specimen
25023,NA
51043,NA
1103,Persons
18037,Persons
19091,Unknown
21093,NA
48167,Specimen
5045,Unknown
31153,Unknown
35059,Persons
51181,NA
31029,Unknown
37079,NA
29149,Unknown
51059,NA
51600,NA
42005,Unknown
48199,Specimen
5115,Unknown
39151,NA
48219,Specimen
28147,NA
30001,NA
53059,Persons
27031,NA
53067,Persons
13065,NA
55029,Persons
19005,Unknown
55063,Persons
51650,NA
5005,Unknown
8027,NA
1003,Persons
51083,NA
53013,Persons
22045,Unknown
5141,Unknown
48339,Specimen
53035,Persons
51810,NA
13129,NA
16043,NA
13247,NA
42061,Unknown
29181,Unknown
38039,Persons
33017,NA
37033,NA
5053,Unknown
38103,Persons
37071,NA
31057,Unknown
48189,Specimen
51191,NA
6097,Unknown
17069,Specimen
45073,NA
40131,NA
55079,Persons
20153,Persons
51111,NA
30013,NA
51115,NA
53075,Persons
26021,Specimen
29053,Unknown
48097,Specimen
30033,NA
39081,NA
28083,NA
37117,NA
13291,NA
6007,Unknown
22047,Unknown
51095,NA
37073,NA
26099,Specimen
26145,Specimen
72011,NA
72097,NA
22057,Unknown
38009,Persons
72153,NA
17089,Specimen
72113,NA
30005,NA
2050,Specimen
2100,Specimen
5095,Unknown
54071,NA
51171,NA
28079,NA
41013,Persons
21185,NA
21099,NA
13227,NA
39129,NA
6025,Unknown
49023,NA
13313,NA
13249,NA
13293,NA
30049,NA
31155,Unknown
27145,NA
31049,Unknown
13297,NA
27121,NA
37011,NA
13151,NA
13045,NA
48371,Specimen
48401,Specimen
48447,Specimen
17035,Specimen
25027,NA
20029,Persons
41029,Persons
41033,Persons
42055,Unknown
31169,Unknown
18023,Persons
13115,NA
30099,NA
16039,NA
50025,NA
48139,Specimen
29186,Unknown
51670,NA
5109,Unknown
41041,Persons
17121,Specimen
19133,Unknown
40055,NA
46102,NA
46137,NA
51067,NA
29223,Unknown
29179,Unknown
8123,NA
39165,NA
12011,Unknown
48483,Specimen
13245,NA
13281,NA
16003,NA
16023,NA
28121,NA
13309,NA
13175,NA
5127,Unknown
28157,NA
50007,NA
30017,NA
25021,NA
48457,Specimen
13209,NA
13189,NA
41055,Persons
41059,Persons
41061,Persons
13133,NA
2110,Specimen
40079,NA
54053,NA
32031,Both
18003,Persons
19139,Unknown
19163,Unknown
2158,Specimen
5017,Unknown
22123,Unknown
1063,Persons
18053,Persons
18067,Persons
53003,Persons
6057,Unknown
31051,Unknown
35023,Persons
20033,Persons
17197,Specimen
29107,Unknown
48191,Specimen
23023,Specimen
54093,NA
5137,Unknown
30075,NA
39145,NA
48403,Specimen
37075,NA
1091,Persons
54043,NA
54099,NA
48411,Specimen
37091,NA
48409,Specimen
51165,NA
48373,Specimen
26127,Specimen
36073,Persons
37013,NA
37187,NA
29087,Unknown
6051,Unknown
45057,NA
31045,Unknown
16063,NA
48177,Specimen
42063,Unknown
16067,NA
42067,Unknown
17097,Specimen
18161,Persons
29221,Unknown
29103,Unknown
42081,Unknown
13165,NA
13117,NA
39147,NA
12105,Unknown
48427,Specimen
13103,NA
48443,Specimen
13119,NA
12021,Unknown
13127,NA
39157,NA
13139,NA
39161,NA
13147,NA
48313,Specimen
40143,NA
13125,NA
38051,Persons
10003,Persons
19159,Unknown
24510,Both
48013,Specimen
26157,Specimen
38011,Persons
38053,Persons
30095,NA
27079,NA
53005,Persons
29173,Unknown
56021,Specimen
41045,Persons
22023,Unknown
24009,Both
28119,NA
29063,Unknown
29081,Unknown
54085,NA
51750,NA
30019,NA
30055,NA
51021,NA
54017,NA
31061,Unknown
31099,Unknown
40005,NA
48051,Specimen
36107,Persons
40013,NA
36035,Persons
40029,NA
48287,Specimen
40091,NA
40123,NA
48395,Specimen
40061,NA
54009,NA
39009,NA
54063,NA
51003,NA
45049,NA
47125,Unknown
29001,Unknown
48251,Specimen
30037,NA
30043,NA
13161,NA
48463,Specimen
12051,Unknown
48469,Specimen
39025,NA
48479,Specimen
39047,NA
13199,NA
54041,NA
54091,NA
39039,NA
30083,NA
35049,Persons
12057,Unknown
16073,NA
48321,Specimen
21101,NA
31001,Unknown
37121,NA
40115,NA
41071,Persons
55111,Persons
55141,Persons
47025,Unknown
39057,NA
29165,Unknown
12109,Unknown
21005,NA
13213,NA
19155,Unknown
34003,NA
31033,Unknown
42127,Unknown
6101,Unknown
39059,NA
13215,NA
13221,NA
13231,NA
13237,NA
13251,NA
45091,NA
29185,Unknown
39167,NA
1099,Persons
22125,Unknown
51027,NA
54061,NA
51155,NA
55083,Persons
27139,NA
46117,NA
39061,NA
51005,NA
28099,NA
48037,Specimen
47171,Unknown
56011,Specimen
47179,Unknown
45063,NA
45067,NA
55095,Persons
38057,Persons
30009,NA
47093,Unknown
50001,NA
33011,NA
48245,Specimen
8045,NA
19029,Unknown
12111,Unknown
5131,Unknown
18121,Persons
8049,NA
40039,NA
30007,NA
37163,NA
48055,Specimen
1133,Persons
55007,Persons
55139,Persons
36021,Persons
42027,Unknown
56003,Specimen
33019,NA
26131,Specimen
5063,Unknown
42133,Unknown
55109,Persons
45075,NA
56039,Specimen
56027,Specimen
45079,NA
6047,Unknown
12099,Unknown
20043,Persons
13265,NA
40085,NA
21085,NA
22113,Unknown
6087,Unknown
9015,NA
18163,Persons
22119,Unknown
37179,NA
48261,Specimen
48147,Specimen
2105,Specimen
6085,Unknown
22127,Unknown
13263,NA
28027,NA
26069,Specimen
26063,Specimen
48273,Specimen
8121,NA
48311,Specimen
8097,NA
51085,NA
21053,NA
30059,NA
29009,Unknown
6061,Unknown
40043,NA
6015,Unknown
42091,Unknown
36063,Persons
29169,Unknown
40017,NA
72095,NA
50005,NA
37027,NA
9003,NA
28003,NA
42095,Unknown
1085,Persons
56037,Specimen
27099,NA
25011,NA
55133,Persons
45089,NA
5001,Unknown
22061,Unknown
33001,NA
34015,NA
1113,Persons
12069,Unknown
1117,Persons
27093,NA
40095,NA
54027,NA
48269,Specimen
19059,Unknown
6043,Unknown
29075,Unknown
21131,NA
31011,Unknown
47143,Unknown
48207,Specimen
48423,Specimen
13211,NA
21187,NA
55135,Persons
40151,NA
37001,NA
22069,Unknown
38089,Persons
47115,Unknown
20005,Persons
27037,NA
1005,Persons
1097,Persons
48307,Specimen
48113,Specimen
72123,NA
26163,Specimen
19009,Unknown
45031,NA
42029,Unknown
21173,NA
28015,NA
31043,Unknown
47091,Unknown
6069,Unknown
41047,Persons
30081,NA
47015,Unknown
42001,Unknown
51550,NA
31149,Unknown
40047,NA
5013,Unknown
19075,Unknown
8091,NA
23021,Specimen
13053,NA
5121,Unknown
8107,NA
48413,Specimen
72025,NA
72021,NA
54015,NA
54039,NA
72027,NA
72033,NA
72037,NA
72041,NA
53053,Persons
16045,NA
37101,NA
13145,NA
50011,NA
1065,Persons
18073,Persons
16005,NA
53031,Persons
48277,Specimen
17077,Specimen
36057,Persons
13177,NA
47083,Unknown
27069,NA
48241,Specimen
41057,Persons
45043,NA
49021,NA
25007,NA
38087,Persons
40101,NA
22109,Unknown
40135,NA
41035,Persons
38049,Persons
23029,Specimen
49039,NA
51093,NA
32015,Both
39075,NA
47013,Unknown
47097,Unknown
51081,NA
54107,NA
48281,Specimen
18173,Persons
72055,NA
53033,Persons
31065,Unknown
51001,NA
47003,Unknown
40023,NA
17147,Specimen
6059,Unknown
35027,Persons
4017,Specimen
37053,NA
45071,NA
17149,Specimen
53029,Persons
6071,Unknown
29057,Unknown
51595,NA
48059,Specimen
36117,Persons
47051,Unknown
39007,NA
1069,Persons
26097,Specimen
35009,Persons
32033,Both
53055,Persons
53057,Persons
53063,Persons
53065,Persons
13277,NA
50003,NA
53017,Persons
54003,NA
1093,Persons
50015,NA
28069,NA
48435,Specimen
48201,Specimen
13229,NA
46093,NA
27071,NA
40145,NA
29003,Unknown
5035,Unknown
17059,Specimen
26017,Specimen
40007,NA
37031,NA
12083,Unknown
21209,NA
53045,Persons
28143,NA
30025,NA
12005,Unknown
54035,NA
12017,Unknown
49055,NA
41069,Persons
1105,Persons
13311,NA
31003,Unknown
46023,NA
17189,Specimen
23001,Specimen
48121,Specimen
21143,NA
21157,NA
49035,NA
21177,NA
47165,Unknown
48365,Specimen
21023,NA
46083,NA
50023,NA
55127,Persons
72099,NA
72111,NA
18135,Persons
20103,Persons
19197,Unknown
48181,Specimen
29189,Unknown
13079,NA
41049,Persons
42013,Unknown
47053,Unknown
46125,NA
21007,NA
2188,Specimen
18099,Persons
40149,NA
17125,Specimen
19113,Unknown
2180,Specimen
31119,Unknown
5085,Unknown
13217,NA
27001,NA
37051,NA
41067,Persons
47123,Unknown
28063,NA
36053,Persons
1095,Persons
51011,NA
48003,Specimen
47021,Unknown
46079,NA
42025,Unknown
35057,Persons
48069,Specimen
72069,NA
6005,Unknown
28053,NA
12047,Unknown
17095,Specimen
19013,Unknown
1021,Persons
21235,NA
8007,NA
47061,Unknown
48001,Specimen
45005,NA
42011,Unknown
47017,Unknown
47079,Unknown
48007,Specimen
45011,NA
20021,Persons
30109,NA
13299,NA
2220,Specimen
51540,NA
8115,NA
6103,Unknown
18167,Persons
17079,Specimen
48041,Specimen
27055,NA
26075,Specimen
9009,NA
18043,Persons
18123,Persons
25013,NA
20025,Persons
46091,NA
72109,NA
21097,NA
6089,Unknown
27077,NA
20117,Persons
30011,NA
20131,Persons
20143,Persons
20171,Persons
55003,Persons
20201,Persons
5049,Unknown
29037,Unknown
19169,Unknown
47121,Unknown
24037,Both
17201,Specimen
47085,Unknown
31105,Unknown
56035,Specimen
27091,NA
45051,NA
48043,Specimen
45065,NA
45087,NA
53021,Persons
15009,Unknown
41051,Persons
15007,Unknown
27021,NA
13155,NA
39171,NA
27057,NA
49003,NA
37107,NA
49013,NA
49015,NA
48229,Specimen
12067,Unknown
17057,Specimen
31075,Unknown
47005,Unknown
48497,Specimen
21119,NA
37147,NA
40037,NA
51830,NA
13137,NA
46043,NA
36049,Persons
31131,Unknown
31059,Unknown
13111,NA
22107,Unknown
12086,Unknown
25025,NA
27027,NA
54047,NA
1011,Persons
5083,Unknown
20015,Persons
51193,NA
29225,Unknown
36111,Persons
37059,NA
42129,Unknown
29041,Unknown
48157,Specimen
29071,Unknown
20135,Persons
29113,Unknown
21175,NA
27025,NA
37153,NA
21011,NA
40103,NA
45009,NA
46039,NA
42021,Unknown
45037,NA
55069,Persons
48235,Specimen
48057,Specimen
49045,NA
48323,Specimen
51127,NA
53009,Persons
53019,Persons
53047,Persons
13201,NA
13205,NA
15001,Unknown
47081,Unknown
37171,NA
1049,Persons
42037,Unknown
13289,NA
72073,NA
13173,NA
28139,NA
47023,Unknown
53041,Persons
12009,Unknown
36003,Persons
31115,Unknown
17117,Specimen
8009,NA
24045,Both
2150,Specimen
13269,NA
21103,NA
22013,Unknown
28101,NA
6021,Unknown
5069,Unknown
5075,Unknown
55075,Persons
47161,Unknown
56023,Specimen
45085,NA
30069,NA
22117,Unknown
29133,Unknown
48045,Specimen
5019,Unknown
48101,Specimen
21107,NA
17111,Specimen
21081,NA
28005,NA
28011,NA
28013,NA
28021,NA
28033,NA
46129,NA
28085,NA
28041,NA
13131,NA
72083,NA
54075,NA
72081,NA
45053,NA
37087,NA
34025,NA
49033,NA
55093,Persons
51187,NA
47027,Unknown
30073,NA
31041,Unknown
16029,NA
27023,NA
26133,Specimen
25019,NA
1067,Persons
19017,Unknown
29039,Unknown
19079,Unknown
47019,Unknown
51057,NA
56007,Specimen
42097,Unknown
55047,Persons
34019,NA
39021,NA
36019,Persons
38021,Persons
35013,Persons
5021,Unknown
37009,NA
35029,Persons
29137,Unknown
38037,Persons
38083,Persons
16009,NA
17131,Specimen
37129,NA
27033,NA
21189,NA
46111,NA
47073,Unknown
49005,NA
44005,NA
13049,NA
29151,Unknown
26041,Specimen
42017,Unknown
34033,NA
39013,NA
49025,NA
6063,Unknown
19095,Unknown
21061,NA
34017,NA
2198,Specimen
39163,NA
27103,NA
20055,Persons
18145,Persons
27105,NA
26037,Specimen
51630,NA
29161,Unknown
12117,Unknown
51145,NA
29067,Unknown
54001,NA
25003,NA
48415,Specimen
8073,NA
37113,NA
42089,Unknown
29029,Unknown
38043,Persons
31055,Unknown
13315,NA
46089,NA
1029,Persons
72103,NA
72053,NA
32007,Both
18097,Persons
45045,NA
47009,Unknown
51105,NA
17021,Specimen
33007,NA
26073,Specimen
33013,NA
26109,Specimen
26153,Specimen
38035,Persons
51520,NA
51570,NA
51640,NA
21025,NA
35041,Persons
48109,Specimen
51163,NA
21207,NA
29059,Unknown
40081,NA
27095,NA
26095,Specimen
29123,Unknown
48461,Specimen
48185,Specimen
47055,Unknown
18005,Persons
31079,Unknown
21221,NA
20139,Persons
8105,NA
28091,NA
20087,Persons
48033,Specimen
48259,Specimen
36033,Persons
48477,Specimen
40127,NA
54013,NA
16049,NA
55001,Persons
22035,Unknown
12065,Unknown
22071,Unknown
8019,NA
29065,Unknown
48327,Specimen
40067,NA
5081,Unknown
42003,Unknown
29177,Unknown
6027,Unknown
2164,Specimen
42077,Unknown
30053,NA
20173,Persons
18129,Persons
29219,Unknown
1051,Persons
9007,NA
18039,Persons
17137,Specimen
37089,NA
18155,Persons
21021,NA
31103,Unknown
23003,Specimen
31161,Unknown
4021,Specimen
19187,Unknown
47129,Unknown
48159,Specimen
51125,NA
5147,Unknown
37039,NA
18115,Persons
10001,Persons
28035,NA
42031,Unknown
72107,NA
56015,Specimen
48211,Specimen
19175,Unknown
19061,Unknown
21181,NA
8005,NA
40137,NA
54109,NA
34037,NA
29111,Unknown
18029,Persons
18109,Persons
29019,Unknown
20095,Persons
49043,NA
19145,Unknown
22065,Unknown
5007,Unknown
8071,NA
27107,NA
30023,NA
42041,Unknown
41043,Persons
44007,NA
12097,Unknown
17157,Specimen
13051,NA
17161,Specimen
48377,Specimen
16085,NA
8111,NA
4015,Specimen
40003,NA
19119,Unknown
18051,Persons
17005,Specimen
46021,NA
16013,NA
17073,Specimen
16025,NA
35006,Persons
18025,Persons
29195,Unknown
42101,Unknown
50009,NA
27113,NA
12013,Unknown
46065,NA
48111,Specimen
27141,NA
5113,Unknown
12015,Unknown
48335,Specimen
48329,Specimen
1107,Persons
48239,Specimen
41021,Persons
26161,Specimen
27047,NA
30071,NA
35015,Persons
39107,NA
42083,Unknown
42087,Unknown
19151,Unknown
38105,Persons
51147,NA
47107,Unknown
22053,Unknown
51683,NA
29135,Unknown
27075,NA
38025,Persons
20099,Persons
22115,Unknown
48385,Specimen
39139,NA
48387,Specimen
12101,Unknown
19161,Unknown
39143,NA
48083,Specimen
24019,Both
48505,Specimen
28075,NA
30045,NA
29033,Unknown
48225,Specimen
51710,NA
4009,Specimen
45001,NA
36045,Persons
19087,Unknown
21115,NA
17001,Specimen
16071,NA
21013,NA
28001,NA
46069,NA
31037,Unknown
6067,Unknown
42119,Unknown
48035,Specimen
55019,Persons
41039,Persons
6031,Unknown
20085,Persons
38069,Persons
48163,Specimen
1081,Persons
56043,Specimen
26103,Specimen
2013,Specimen
5107,Unknown
2068,Specimen
12079,Unknown
28051,NA
51071,NA
45007,NA
32011,Both
48053,Specimen
48089,Specimen
18079,Persons
13077,NA
6017,Unknown
13087,NA
24017,Both
51510,NA
4007,Specimen
46135,NA
72015,NA
29510,Unknown
42009,Unknown
29205,Unknown
51678,NA
5105,Unknown
51041,NA
36009,Persons
72127,NA
19131,Unknown
26025,Specimen
2090,Specimen
13271,NA
12115,Unknown
13185,NA
10005,Persons
22103,Unknown
55059,Persons
13233,NA
34029,NA
13223,NA
31127,Unknown
27119,NA
17027,Specimen
17019,Specimen
42019,Unknown
33003,NA
47167,Unknown
16083,NA
12023,Unknown
72007,NA
39029,NA
40045,NA
42023,Unknown
31139,Unknown
40019,NA
23019,Specimen
30103,NA
40051,NA
48073,Specimen
30089,NA
21043,NA
6079,Unknown
39005,NA
13039,NA
40027,NA
36041,Persons
5101,Unknown
42115,Unknown
40087,NA
48499,Specimen
22095,Unknown
22097,Unknown
40113,NA
48231,Specimen
45029,NA
12031,Unknown
27137,NA
39115,NA
44009,NA
28135,NA
39133,NA
36013,Persons
29047,Unknown
46119,NA
29079,Unknown
48141,Specimen
20107,Persons
28117,NA
51117,NA
5043,Unknown
21193,NA
55051,Persons
21231,NA
1129,Persons
30051,NA
42111,Unknown
5149,Unknown
13307,NA
31089,Unknown
39049,NA
51017,NA
72023,NA
28009,NA
5033,Unknown
19101,Unknown
37189,NA
45055,NA
16077,NA
40021,NA
46085,NA
41005,Persons
20063,Persons
20065,Persons
16069,NA
37157,NA
20151,Persons
37197,NA
48445,Specimen
46049,NA
8055,NA
17049,Specimen
29201,Unknown
36001,Persons
13157,NA
34023,NA
27045,NA
55049,Persons
55037,Persons
33005,NA
21213,NA
48337,Specimen
39095,NA
53015,Persons
48015,Specimen
45017,NA
45035,NA
47057,Unknown
2230,Specimen
47063,Unknown
46033,NA
45025,NA
46057,NA
47077,Unknown
30087,NA
49007,NA
28145,NA
1033,Persons
17003,Specimen
41001,Persons
27159,NA
5119,Unknown
45013,NA
22003,Unknown
38005,Persons
72079,NA
31159,Unknown
37023,NA
13261,NA
