Federal Pilot Community Vaccination Centers,Address,CITY,STATE,POSTAL,Longitude,Latitude,Volume,Description,geometry,new_geo
Oakland Coliseum,7000 Coliseum Way,Oakland,CA,94621,-122.19937,37.75169,6000,"FEMA partnered with the California Governor’s Office of Emergency Services (OES) to open the site on February 16, with the capacity to vaccinate 6,000 individuals a day. At the time of launch, 231 federal personnel were deployed to support site vaccinations and operations, including 125 from FEMA, 85 from USFS, and 21 from NDMS. The Coliseum is adjacent to the communities of Eastmont and Elmhurst, which have some of the lowest health scores in the state. The site operates 7 days a week with drive-through and pedestrian options. Appointments were reserved for faith and community-based organizations to register their communities.",POINT (-122.19937 37.75169),"POLYGON ((-112.19937 37.75169, -112.247522733278 36.7715185967044, -112.3915171959677 35.80078677983872, -112.6299666426779 34.84884322745538, -112.9605746748871 33.92485567634911, -113.3801573565164 33.03772263174003, -113.8846738769745 32.19598766980398, -114.4692654663726 31.40775715836356, -115.1283021881345 30.68062218813454, -115.8554371583635 30.02158546637264, -116.643667669804 29.43699387697455, -117.48540263174 28.93247735651646, -118.3725356763491 28.51289467488714, -119.2965232274554 28.18228664267792, -120.2484667798387 27.9438371959677, -121.2191985967044 27.79984273327804, -122.19937 27.75169, -123.1795414032956 27.79984273327803, -124.1502732201613 27.9438371959677, -125.1022167725446 28.18228664267791, -126.0262043236509 28.51289467488713, -126.91333736826 28.93247735651644, -127.755072330196 29.43699387697454, -128.5433028416364 30.02158546637262, -129.2704378118655 30.68062218813451, -129.9294745336274 31.40775715836354, -130.5140661230255 32.19598766980397, -131.0185826434835 33.03772263174001, -131.4381653251129 33.92485567634909, -131.7687733573221 34.84884322745537, -132.0072228040323 35.80078677983871, -132.151217266722 36.77151859670439, -132.19937 37.75169, -132.151217266722 38.7318614032956, -132.0072228040323 39.70259322016128, -131.7687733573221 40.65453677254462, -131.4381653251129 41.5785243236509, -131.0185826434836 42.46565736825998, -130.5140661230255 43.30739233019602, -129.9294745336274 44.09562284163646, -129.2704378118655 44.82275781186548, -128.5433028416365 45.48179453362737, -127.755072330196 46.06638612302545, -126.91333736826 46.57090264348355, -126.0262043236509 46.99048532511286, -125.1022167725446 47.32109335732208, -124.1502732201613 47.5595428040323, -123.1795414032956 47.70353726672197, -122.19937 47.75169, -121.2191985967044 47.70353726672197, -120.2484667798388 47.55954280403232, -119.2965232274554 47.3210933573221, -118.3725356763491 46.99048532511289, -117.4854026317401 46.57090264348358, -116.643667669804 46.06638612302548, -115.8554371583636 45.48179453362741, -115.1283021881346 44.82275781186551, -114.4692654663727 44.09562284163651, -113.8846738769746 43.30739233019608, -113.3801573565165 42.46565736826004, -112.9605746748872 41.57852432365097, -112.6299666426779 40.6545367725447, -112.3915171959677 39.70259322016136, -112.247522733278 38.73186140329569, -112.19937 37.75169000000009, -112.19937 37.75169))"
"California State University, Los Angeles",5151 State University Dr,Los Angeles,CA,90032,-118.1714,34.0624067,6000,"FEMA partnered with the California Governor’s Office of Emergency Services (OES) to open the site on February 16, with the capacity to vaccinate 6,000 individuals a day. At the time of launch, 256 personnel were deployed to support site vaccinations and operations, including 222 from DoD, 30 from FEMA, and four from USFS. The institution is one of the most diverse public universities in the country, serving a large Latinx community.The site operates 7 days a week with drive-through and pedestrian options. Appointments were reserved for faith and community-based organizations to register their communities.",POINT (-118.1714 34.0624067),"POLYGON ((-108.1714 34.0624067, -108.219552733278 33.0822352967044, -108.3635471959677 32.11150347983872, -108.6019966426779 31.15955992745538, -108.9326046748871 30.23557237634911, -109.3521873565165 29.34843933174003, -109.8567038769745 28.50670436980399, -110.4412954663726 27.71847385836356, -111.1003321881345 26.99133888813454, -111.8274671583635 26.33230216637264, -112.615697669804 25.74771057697455, -113.45743263174 25.24319405651646, -114.3445656763491 24.82361137488714, -115.2685532274554 24.49300334267792, -116.2204967798387 24.2545538959677, -117.1912285967044 24.11055943327804, -118.1714 24.0624067, -119.1515714032956 24.11055943327803, -120.1223032201613 24.2545538959677, -121.0742467725446 24.49300334267791, -121.9982343236509 24.82361137488713, -122.88536736826 25.24319405651644, -123.727102330196 25.74771057697454, -124.5153328416365 26.33230216637262, -125.2424678118655 26.99133888813451, -125.9015045336274 27.71847385836354, -126.4860961230254 28.50670436980397, -126.9906126434835 29.34843933174001, -127.4101953251129 30.23557237634909, -127.7408033573221 31.15955992745537, -127.9792528040323 32.11150347983871, -128.123247266722 33.08223529670439, -128.1714 34.0624067, -128.123247266722 35.0425781032956, -127.9792528040323 36.01330992016128, -127.7408033573221 36.96525347254462, -127.4101953251129 37.8892410236509, -126.9906126434836 38.77637406825998, -126.4860961230255 39.61810903019602, -125.9015045336274 40.40633954163646, -125.2424678118655 41.13347451186548, -124.5153328416365 41.79251123362737, -123.727102330196 42.37710282302545, -122.88536736826 42.88161934348355, -121.9982343236509 43.30120202511286, -121.0742467725446 43.63181005732208, -120.1223032201613 43.8702595040323, -119.1515714032956 44.01425396672197, -118.1714 44.0624067, -117.1912285967044 44.01425396672197, -116.2204967798388 43.87025950403232, -115.2685532274554 43.6318100573221, -114.3445656763491 43.30120202511289, -113.4574326317401 42.88161934348358, -112.615697669804 42.37710282302548, -111.8274671583636 41.79251123362741, -111.1003321881346 41.13347451186551, -110.4412954663727 40.40633954163651, -109.8567038769746 39.61810903019608, -109.3521873565165 38.77637406826004, -108.9326046748872 37.88924102365097, -108.6019966426779 36.9652534725447, -108.3635471959677 36.01330992016136, -108.2195527332781 35.04257810329569, -108.1714 34.06240670000009, -108.1714 34.0624067))"
NRG Stadium,8600 Kirby Drive,Houston,TX,77054,-95.412461,29.681248,6000,"FEMA and the Texas Division of Emergency Management opened this site on February 24, with the capacity to vaccinate 6,000 individuals a day. The 11-lane drive-through site operates 7 days a week, and the state is conducting targeted outreach to provide registration support. Harris County is highly diverse, home to the nation’s second-largest Hispanic and Latinx population of any U.S. county.",POINT (-95.41246099999999 29.681248),"POLYGON ((-85.41246099999999 29.681248, -85.46061373327802 28.70107659670439, -85.60460819596769 27.73034477983872, -85.84305764267791 26.77840122745538, -86.17366567488712 25.8544136763491, -86.59324835651644 24.96728063174002, -87.09776487697454 24.12554566980398, -87.68235646637262 23.33731515836355, -88.34139318813452 22.61018018813453, -89.06852815836353 21.95114346637263, -89.85675866980397 21.36655187697455, -90.69849363174001 20.86203535651645, -91.58562667634908 20.44245267488714, -92.50961422745536 20.11184464267791, -93.4615577798387 19.8733951959677, -94.43228959670438 19.72940073327803, -95.41246099999998 19.681248, -96.39263240329558 19.72940073327803, -97.36336422016126 19.87339519596769, -98.3153077725446 20.1118446426779, -99.23929532365088 20.44245267488712, -100.12642836826 20.86203535651644, -100.968163330196 21.36655187697453, -101.7563938416364 21.95114346637261, -102.4835288118655 22.61018018813451, -103.1425655336273 23.33731515836353, -103.7271571230254 24.12554566980396, -104.2316736434835 24.96728063174001, -104.6512563251129 25.85441367634909, -104.9818643573221 26.77840122745536, -105.2203138040323 27.7303447798387, -105.364308266722 28.70107659670438, -105.412461 29.68124799999999, -105.364308266722 30.66141940329559, -105.2203138040323 31.63215122016127, -104.9818643573221 32.58409477254462, -104.6512563251129 33.50808232365089, -104.2316736434835 34.39521536825997, -103.7271571230254 35.23695033019602, -103.1425655336274 36.02518084163645, -102.4835288118655 36.75231581186547, -101.7563938416365 37.41135253362737, -100.968163330196 37.99594412302545, -100.12642836826 38.50046064348354, -99.23929532365091 38.92004332511286, -98.31530777254463 39.25065135732208, -97.3633642201613 39.4891008040323, -96.39263240329562 39.63309526672197, -95.41246100000002 39.681248, -94.43228959670442 39.63309526672197, -93.46155777983874 39.4891008040323, -92.5096142274554 39.2506513573221, -91.58562667634914 38.92004332511288, -90.69849363174006 38.50046064348356, -89.85675866980401 37.99594412302547, -89.06852815836358 37.4113525336274, -88.34139318813456 36.75231581186551, -87.68235646637267 36.0251808416365, -87.09776487697458 35.23695033019607, -86.59324835651647 34.39521536826003, -86.17366567488715 33.50808232365096, -85.84305764267793 32.58409477254469, -85.6046081959677 31.63215122016135, -85.46061373327804 30.66141940329568, -85.41246099999999 29.68124800000008, -85.41246099999999 29.681248))"
Fair Park,3809 Grand Avenue / Dallas,Dallas,TX,0,-96.762002,32.7799583,3000,"FEMA and the Texas Division of Emergency Management opened the site on February 24, with the capacity to vaccinate 3,000 individuals a day. The 12-lane drive-through site operates 7 days a week, and the state is conducting targeted outreach to provide registration support. Dallas County is highly diverse, with nearly two-thirds of its population Hispanic and/or Black.",POINT (-96.762002 32.7799583),"POLYGON ((-86.762002 32.7799583, -86.81015473327803 31.79978689670439, -86.95414919596769 30.82905507983872, -87.19259864267791 29.87711152745538, -87.52320667488712 28.9531239763491, -87.94278935651644 28.06599093174002, -88.44730587697454 27.22425596980398, -89.03189746637263 26.43602545836355, -89.69093418813452 25.70889048813453, -90.41806915836354 25.04985376637264, -91.20629966980397 24.46526217697455, -92.04803463174001 23.96074565651645, -92.93516767634908 23.54116297488714, -93.85915522745536 23.21055494267791, -94.8110987798387 22.9721054959677, -95.78183059670438 22.82811103327803, -96.76200199999998 22.7799583, -97.74217340329558 22.82811103327803, -98.71290522016126 22.97210549596769, -99.6648487725446 23.2105549426779, -100.5888363236509 23.54116297488712, -101.47596936826 23.96074565651644, -102.317704330196 24.46526217697453, -103.1059348416364 25.04985376637261, -103.8330698118655 25.70889048813451, -104.4921065336274 26.43602545836353, -105.0766981230254 27.22425596980396, -105.5812146434835 28.06599093174001, -106.0007973251129 28.95312397634909, -106.3314053573221 29.87711152745536, -106.5698548040323 30.8290550798387, -106.713849266722 31.79978689670438, -106.762002 32.77995829999999, -106.713849266722 33.7601297032956, -106.5698548040323 34.73086152016127, -106.3314053573221 35.68280507254461, -106.0007973251129 36.60679262365089, -105.5812146434835 37.49392566825997, -105.0766981230255 38.33566063019602, -104.4921065336274 39.12389114163645, -103.8330698118655 39.85102611186547, -103.1059348416365 40.51006283362737, -102.317704330196 41.09465442302545, -101.47596936826 41.59917094348354, -100.5888363236509 42.01875362511286, -99.66484877254463 42.34936165732208, -98.7129052201613 42.5878111040323, -97.74217340329562 42.73180556672196, -96.76200200000002 42.7799583, -95.78183059670442 42.73180556672197, -94.81109877983874 42.58781110403231, -93.8591552274554 42.34936165732209, -92.93516767634914 42.01875362511288, -92.04803463174005 41.59917094348357, -91.20629966980401 41.09465442302547, -90.41806915836358 40.5100628336274, -89.69093418813456 39.85102611186551, -89.03189746637267 39.1238911416365, -88.44730587697458 38.33566063019607, -87.94278935651647 37.49392566826003, -87.52320667488715 36.60679262365096, -87.19259864267792 35.68280507254469, -86.9541491959677 34.73086152016135, -86.81015473327804 33.76012970329568, -86.762002 32.77995830000008, -86.762002 32.7799583))"
Globe Life Field,734 Stadium Dr,Arlington,TX,76011,-97.082363,32.7464939,3000,"FEMA and the Texas Division of Emergency Management will open the site on February 26, with the capacity to vaccinate 3,000 individuals a day. The site operates 7 days a week with drive-through and pedestrian options, and the state is conducting targeted outreach to provide registration support.",POINT (-97.082363 32.7464939),"POLYGON ((-87.082363 32.7464939, -87.13051573327803 31.7663224967044, -87.27451019596769 30.79559067983872, -87.51295964267791 29.84364712745538, -87.84356767488713 28.91965957634911, -88.26315035651645 28.03252653174003, -88.76766687697454 27.19079156980399, -89.35225846637263 26.40256105836356, -90.01129518813453 25.67542608813454, -90.73843015836354 25.01638936637264, -91.52666066980397 24.43179777697456, -92.36839563174001 23.92728125651646, -93.25552867634909 23.50769857488714, -94.17951622745537 23.17709054267792, -95.13145977983871 22.9386410959677, -96.10219159670439 22.79464663327804, -97.08236299999999 22.7464939, -98.06253440329559 22.79464663327803, -99.03326622016127 22.9386410959677, -99.98520977254461 23.17709054267791, -100.9091973236509 23.50769857488713, -101.79633036826 23.92728125651644, -102.638065330196 24.43179777697454, -103.4262958416364 25.01638936637262, -104.1534308118655 25.67542608813451, -104.8124675336274 26.40256105836354, -105.3970591230254 27.19079156980397, -105.9015756434835 28.03252653174001, -106.3211583251129 28.91965957634909, -106.6517663573221 29.84364712745537, -106.8902158040323 30.79559067983871, -107.034210266722 31.76632249670439, -107.082363 32.7464939, -107.034210266722 33.7266653032956, -106.8902158040323 34.69739712016128, -106.6517663573221 35.64934067254462, -106.3211583251129 36.5733282236509, -105.9015756434836 37.46046126825998, -105.3970591230255 38.30219623019602, -104.8124675336274 39.09042674163646, -104.1534308118655 39.81756171186548, -103.4262958416365 40.47659843362737, -102.638065330196 41.06119002302545, -101.79633036826 41.56570654348355, -100.9091973236509 41.98528922511287, -99.98520977254464 42.31589725732209, -99.03326622016131 42.55434670403231, -98.06253440329563 42.69834116672197, -97.08236300000003 42.7464939, -96.10219159670443 42.69834116672197, -95.13145977983875 42.55434670403231, -94.17951622745541 42.31589725732211, -93.25552867634914 41.98528922511289, -92.36839563174007 41.56570654348357, -91.52666066980402 41.06119002302548, -90.73843015836358 40.47659843362741, -90.01129518813457 39.81756171186552, -89.35225846637267 39.09042674163651, -88.76766687697459 38.30219623019608, -88.26315035651648 37.46046126826004, -87.84356767488715 36.57332822365097, -87.51295964267794 35.6493406725447, -87.27451019596771 34.69739712016136, -87.13051573327805 33.72666530329569, -87.082363 32.74649390000009, -87.082363 32.7464939))"
Medgar Evers College,1650 Bedford Ave,Brooklyn,NY,11225,-73.956795,40.6660005,3000,"FEMA and New York State opened the site on February 24, with the capacity to vaccinate 3,000 individuals a day. The site is located in Crown Heights, Brooklyn. For the first week of scheduling, appointments were reserved specifically for eligible residents living in areas with low vaccination rates, before opening to all eligible borough residents. The state is additionally partnering with faith leaders to encourage sign-up, and the MTA is launching a pilot program to enhance bus service to connect New Yorkers to the vaccination site.",POINT (-73.956795 40.6660005),"POLYGON ((-63.956795 40.6660005, -64.00494773327803 39.6858290967044, -64.14894219596769 38.71509727983872, -64.38739164267791 37.76315372745538, -64.71799967488712 36.83916617634911, -65.13758235651645 35.95203313174003, -65.64209887697454 35.11029816980398, -66.22669046637263 34.32206765836355, -66.88572718813452 33.59493268813453, -67.61286215836354 32.93589596637264, -68.40109266980397 32.35130437697455, -69.24282763174001 31.84678785651646, -70.12996067634909 31.42720517488714, -71.05394822745536 31.09659714267792, -72.00589177983871 30.8581476959677, -72.97662359670439 30.71415323327804, -73.95679499999999 30.6660005, -74.93696640329559 30.71415323327803, -75.90769822016127 30.85814769596769, -76.85964177254461 31.09659714267791, -77.78362932365087 31.42720517488713, -78.67076236825996 31.84678785651644, -79.512497330196 32.35130437697454, -80.30072784163644 32.93589596637262, -81.02786281186546 33.59493268813451, -81.68689953362735 34.32206765836354, -82.27149112302544 35.11029816980397, -82.77600764348354 35.95203313174001, -83.19559032511286 36.83916617634909, -83.52619835732209 37.76315372745537, -83.76464780403231 38.71509727983871, -83.90864226672197 39.68582909670439, -83.956795 40.6660005, -83.90864226672197 41.6461719032956, -83.76464780403231 42.61690372016128, -83.52619835732209 43.56884727254462, -83.19559032511287 44.4928348236509, -82.77600764348355 45.37996786825997, -82.27149112302546 46.22170283019602, -81.68689953362737 47.00993334163645, -81.02786281186548 47.73706831186548, -80.30072784163646 48.39610503362737, -79.51249733019603 48.98069662302545, -78.67076236825999 49.48521314348355, -77.78362932365091 49.90479582511286, -76.85964177254463 50.23540385732208, -75.90769822016131 50.4738533040323, -74.93696640329563 50.61784776672197, -73.95679500000003 50.6660005, -72.97662359670443 50.61784776672197, -72.00589177983875 50.47385330403232, -71.05394822745541 50.2354038573221, -70.12996067634914 49.90479582511288, -69.24282763174006 49.48521314348358, -68.40109266980402 48.98069662302548, -67.61286215836358 48.39610503362741, -66.88572718813457 47.73706831186551, -66.22669046637267 47.0099333416365, -65.64209887697459 46.22170283019608, -65.13758235651648 45.37996786826004, -64.71799967488715 44.49283482365097, -64.38739164267793 43.56884727254469, -64.14894219596771 42.61690372016136, -64.00494773327804 41.64617190329569, -63.956795 40.66600050000009, -63.956795 40.6660005))"
York College,94-20 Guy R Brewer Blvd,Queens,NY,11451,-73.795356,40.7021252,3000,"New York State and FEMA opened the site on February 23, with the capacity to vaccinate 3,000 individuals a day. The site is located in Jamaica, Queens. For the first week of scheduling, appointments were initially reserved for eligible residents living in areas with low vaccination rates, before opening to all eligible borough residents. The state is additionally partnering with faith leaders to encourage sign-up, and the MTA is launching a pilot program to enhance bus service to connect New Yorkers to the vaccination site.",POINT (-73.79535600000001 40.7021252),"POLYGON ((-63.79535600000001 40.7021252, -63.84350873327804 39.7219537967044, -63.9875031959677 38.75122197983872, -64.22595264267792 37.79927842745538, -64.55656067488714 36.87529087634911, -64.97614335651646 35.98815783174003, -65.48065987697456 35.14642286980398, -66.06525146637264 34.35819235836355, -66.72428818813454 33.63105738813454, -67.45142315836355 32.97202066637264, -68.23965366980399 32.38742907697456, -69.08138863174003 31.88291255651646, -69.9685216763491 31.46332987488714, -70.89250922745538 31.13272184267792, -71.84445277983872 30.8942723959677, -72.8151845967044 30.75027793327804, -73.795356 30.7021252, -74.7755274032956 30.75027793327803, -75.74625922016128 30.8942723959677, -76.69820277254462 31.13272184267791, -77.6221903236509 31.46332987488713, -78.50932336825997 31.88291255651644, -79.35105833019601 32.38742907697454, -80.13928884163646 32.97202066637262, -80.86642381186547 33.63105738813451, -81.52546053362737 34.35819235836354, -82.11005212302545 35.14642286980397, -82.61456864348355 35.98815783174001, -83.03415132511287 36.87529087634909, -83.3647593573221 37.79927842745537, -83.60320880403232 38.75122197983871, -83.74720326672198 39.72195379670439, -83.79535600000001 40.7021252, -83.74720326672198 41.6822966032956, -83.60320880403232 42.65302842016128, -83.3647593573221 43.60497197254462, -83.03415132511289 44.5289595236509, -82.61456864348357 45.41609256825998, -82.11005212302547 46.25782753019602, -81.52546053362738 47.04605804163646, -80.86642381186549 47.77319301186548, -80.13928884163647 48.43222973362737, -79.35105833019604 49.01682132302545, -78.50932336826 49.52133784348355, -77.62219032365093 49.94092052511287, -76.69820277254465 50.27152855732209, -75.74625922016132 50.50997800403231, -74.77552740329564 50.65397246672197, -73.79535600000004 50.7021252, -72.81518459670444 50.65397246672197, -71.84445277983876 50.50997800403232, -70.89250922745542 50.2715285573221, -69.96852167634916 49.94092052511289, -69.08138863174008 49.52133784348358, -68.23965366980403 49.01682132302548, -67.4514231583636 48.43222973362741, -66.72428818813458 47.77319301186552, -66.06525146637269 47.04605804163651, -65.4806598769746 46.25782753019608, -64.97614335651649 45.41609256826004, -64.55656067488717 44.52895952365097, -64.22595264267795 43.6049719725447, -63.98750319596772 42.65302842016136, -63.84350873327805 41.68229660329569, -63.79535600000001 40.70212520000009, -63.79535600000001 40.7021252))"
Miami-Dade Community College (North Campus),300 NE 2nd Ave,Miami,FL,33132,-80.19038,25.7774845,3000,"With state partners, FEMA will open the site on March 3. The site is expected to vaccinate 3,000 individuals a day.",POINT (-80.19038 25.7774845),"POLYGON ((-70.19038 25.7774845, -70.23853273327803 24.7973130967044, -70.3825271959677 23.82658127983872, -70.62097664267792 22.87463772745538, -70.95158467488713 21.95065017634911, -71.37116735651645 21.06351713174003, -71.87568387697455 20.22178216980398, -72.46027546637264 19.43355165836355, -73.11931218813453 18.70641668813453, -73.84644715836355 18.04737996637264, -74.63467766980398 17.46278837697455, -75.47641263174002 16.95827185651645, -76.36354567634909 16.53868917488714, -77.28753322745537 16.20808114267792, -78.23947677983871 15.9696316959677, -79.21020859670439 15.82563723327803, -80.19037999999999 15.7774845, -81.17055140329559 15.82563723327803, -82.14128322016127 15.96963169596769, -83.09322677254461 16.20808114267791, -84.01721432365088 16.53868917488712, -84.90434736825996 16.95827185651644, -85.746082330196 17.46278837697454, -86.53431284163645 18.04737996637262, -87.26144781186547 18.70641668813451, -87.92048453362736 19.43355165836353, -88.50507612302545 20.22178216980397, -89.00959264348354 21.06351713174001, -89.42917532511287 21.95065017634909, -89.75978335732209 22.87463772745537, -89.99823280403231 23.82658127983871, -90.14222726672197 24.79731309670438, -90.19038 25.77748449999999, -90.14222726672197 26.7576559032956, -89.99823280403231 27.72838772016128, -89.75978335732209 28.68033127254462, -89.42917532511288 29.60431882365089, -89.00959264348356 30.49145186825997, -88.50507612302546 31.33318683019602, -87.92048453362737 32.12141734163645, -87.26144781186548 32.84855231186548, -86.53431284163646 33.50758903362737, -85.74608233019603 34.09218062302545, -84.90434736825999 34.59669714348355, -84.01721432365092 35.01627982511286, -83.09322677254464 35.34688785732209, -82.14128322016131 35.5853373040323, -81.17055140329563 35.72933176672197, -80.19038000000003 35.7774845, -79.21020859670443 35.72933176672197, -78.23947677983875 35.58533730403231, -77.28753322745541 35.3468878573221, -76.36354567634915 35.01627982511288, -75.47641263174006 34.59669714348357, -74.63467766980402 34.09218062302548, -73.84644715836359 33.5075890336274, -73.11931218813457 32.84855231186552, -72.46027546637268 32.1214173416365, -71.87568387697459 31.33318683019607, -71.37116735651648 30.49145186826004, -70.95158467488716 29.60431882365096, -70.62097664267793 28.68033127254469, -70.38252719596771 27.72838772016136, -70.23853273327805 26.75765590329569, -70.19038 25.77748450000008, -70.19038 25.7774845))"
