GEOID,NAME,2020-01-21,2020-01-24,2020-01-26,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-05,2020-02-10,2020-02-12,2020-02-13,2020-02-18,2020-02-20,2020-02-21,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18
23,Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,4.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,5.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,1.0,4.0,0.0,0.0,5.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,4.0
25,Massachusetts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,2.0,4.0,10.0,10.0,9.0,4.0,8.0,33.0,33.0,32.0,38.0,24.0,15.0,29.0,96.0,77.0,70.0,96.0,87.0,70.0,88.0,113.0,151.0,137.0,159.0,156.0,146.0,103.0,152.0,221.0,178.0,196.0,174.0,169.0,104.0,149.0,253.0,157.0,154.0,130.0,158.0,86.0,122.0,208.0,132.0,150.0,138.0,139.0,128.0,33.0,174.0,168.0,109.0,114.0,92.0,65.0,76.0,128.0,82.0,80.0,76.0,68.0,44.0,57.0,74.0,93.0,77.0,51.0,78.0,187.0,52.0,67.0,49.0,34.0,54.0,27.0,37.0,55.0,46.0,37.0,47.0,38.0,48.0,23.0,18.0,69.0,36.0,30.0,28.0,29.0,14.0,19.0,48.0,25.0,50.0,28.0,19.0,-8.0,0.0,29.0,51.0,16.0,23.0,12.0,15.0,15.0,30.0,25.0,28.0,14.0,14.0,6.0,10.0,28.0,12.0,21.0,18.0,7.0,5.0,19.0,18.0,16.0,14.0,12.0,19.0,7.0,15.0,29.0,15.0,14.0,17.0,12.0,10.0,9.0,2.0,32.0,18.0,12.0,14.0,6.0,10.0,18.0,21.0,20.0,16.0,12.0,4.0,34.0,0.0,12.0,13.0,20.0,0.0,28.0,12.0,26.0,21.0,16.0,12.0,13.0,8.0,0.0,0.0,20.0,23.0,0.0,25.0,8.0,8.0,5.0,21.0,13.0,16.0,14.0,9.0,6.0,20.0,15.0,9.0,26.0,15.0,7.0,11.0,19.0,15.0,11.0,18.0,13.0,11.0,8.0,33.0,24.0,10.0,17.0,3.0,20.0,8.0,19.0,8.0,12.0,10.0,17.0,13.0,13.0,17.0,25.0,30.0,21.0,14.0,16.0,5.0,22.0,30.0,20.0,9.0,25.0,17.0,7.0,36.0,27.0,24.0,16.0,22.0,10.0,12.0,27.0,23.0,21.0,23.0,20.0,14.0,21.0,38.0,20.0,23.0,28.0,36.0,11.0,20.0,47.0
26,Michigan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,1.0,9.0,6.0,19.0,18.0,30.0,21.0,20.0,53.0,74.0,76.0,82.0,62.0,61.0,76.0,111.0,117.0,114.0,118.0,204.0,112.0,95.0,115.0,166.0,153.0,172.0,134.0,81.0,82.0,75.0,234.0,114.0,164.0,108.0,188.0,42.0,91.0,161.0,102.0,119.0,78.0,155.0,32.0,85.0,44.0,73.0,89.0,51.0,131.0,25.0,33.0,90.0,40.0,73.0,38.0,56.0,10.0,24.0,102.0,43.0,68.0,29.0,61.0,9.0,13.0,26.0,68.0,37.0,34.0,58.0,28.0,23.0,37.0,19.0,23.0,20.0,278.0,4.0,17.0,29.0,10.0,27.0,8.0,25.0,3.0,3.0,16.0,2.0,26.0,6.0,19.0,3.0,6.0,12.0,6.0,18.0,3.0,19.0,4.0,4.0,31.0,5.0,13.0,3.0,4.0,0.0,4.0,29.0,11.0,7.0,15.0,28.0,1.0,5.0,3.0,4.0,15.0,5.0,8.0,1.0,7.0,10.0,4.0,8.0,4.0,10.0,1.0,3.0,17.0,9.0,12.0,7.0,6.0,2.0,5.0,8.0,7.0,28.0,11.0,5.0,2.0,5.0,9.0,7.0,15.0,11.0,21.0,6.0,3.0,13.0,10.0,18.0,0.0,21.0,3.0,4.0,20.0,6.0,18.0,6.0,0.0,33.0,5.0,16.0,14.0,12.0,6.0,7.0,0.0,6.0,2.0,59.0,19.0,7.0,11.0,0.0,8.0,12.0,9.0,13.0,6.0,12.0,2.0,7.0,16.0,15.0,10.0,4.0,18.0,0.0,7.0,20.0,10.0,20.0,7.0,16.0,0.0,12.0,24.0,10.0,23.0,8.0,18.0,1.0,8.0,30.0,14.0,34.0,13.0,24.0,0.0,21.0,22.0,35.0,46.0,22.0,38.0,0.0,29.0,31.0,21.0,49.0,12.0,34.0,1.0,15.0,48.0,22.0,48.0,47.0,0.0,0.0,127.0,87.0,43.0,48.0,119.0,71.0,0.0,58.0,81.0,62.0
30,Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,4.0,3.0,1.0,5.0,1.0,0.0,3.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,1.0,6.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,8.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,10.0,1.0,3.0,3.0,2.0,0.0,5.0,1.0,2.0,0.0,4.0,2.0,2.0,5.0,0.0,1.0,3.0,2.0,1.0,4.0,9.0,2.0,1.0,2.0,5.0,9.0,5.0,5.0,5.0,1.0,0.0,11.0,23.0,3.0,4.0,12.0,3.0,5.0,2.0,20.0,12.0,27.0,10.0,3.0,10.0,13.0,5.0,3.0,12.0,26.0,11.0,1.0,5.0,7.0,2.0,6.0,35.0,6.0,3.0,22.0,18.0
32,Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,4.0,1.0,3.0,8.0,6.0,6.0,5.0,3.0,0.0,0.0,14.0,14.0,8.0,4.0,22.0,5.0,8.0,9.0,7.0,5.0,1.0,9.0,7.0,0.0,4.0,13.0,14.0,8.0,8.0,0.0,1.0,13.0,11.0,6.0,7.0,9.0,4.0,9.0,11.0,13.0,4.0,4.0,4.0,4.0,0.0,8.0,11.0,9.0,10.0,2.0,4.0,3.0,9.0,10.0,6.0,4.0,8.0,2.0,2.0,2.0,6.0,4.0,6.0,1.0,0.0,4.0,3.0,9.0,1.0,6.0,1.0,1.0,4.0,4.0,3.0,10.0,2.0,1.0,1.0,2.0,2.0,6.0,2.0,4.0,7.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,0.0,5.0,2.0,5.0,13.0,5.0,0.0,7.0,0.0,12.0,7.0,18.0,7.0,11.0,1.0,3.0,17.0,6.0,8.0,11.0,9.0,1.0,2.0,31.0,24.0,4.0,13.0,11.0,1.0,5.0,21.0,22.0,25.0,24.0,1.0,1.0,14.0,15.0,29.0,11.0,18.0,29.0,10.0,4.0,19.0,14.0,34.0,15.0,25.0,2.0,2.0,28.0,33.0,40.0,10.0,12.0,2.0,1.0,30.0,20.0,24.0,13.0,16.0,2.0,0.0,8.0,25.0,26.0,9.0,14.0,5.0,1.0,1.0,19.0,17.0,10.0,12.0,1.0,4.0,27.0,12.0,13.0,17.0,3.0,3.0,0.0,14.0,11.0,8.0,8.0,10.0,2.0,0.0,9.0,6.0,3.0,8.0,12.0,0.0,1.0,6.0,8.0,11.0,9.0,1.0,4.0,7.0,7.0,17.0,6.0,7.0,2.0,2.0,3.0,13.0,8.0,1.0,4.0,6.0,2.0,3.0,5.0,11.0,3.0,7.0,1.0,5.0,2.0,23.0,9.0,8.0,18.0,6.0,1.0,1.0,10.0,14.0,4.0,17.0,12.0,5.0,5.0,28.0,1.0
34,New Jersey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,2.0,5.0,4.0,7.0,18.0,18.0,19.0,27.0,31.0,21.0,37.0,69.0,88.0,180.0,109.0,199.0,72.0,84.0,230.0,273.0,205.0,225.0,251.0,167.0,93.0,362.0,351.0,362.0,322.0,409.0,113.0,158.0,349.0,281.0,276.0,212.0,231.0,69.0,106.0,398.0,329.0,457.0,310.0,204.0,128.0,40.0,334.0,305.0,258.0,153.0,155.0,140.0,85.0,191.0,183.0,232.0,202.0,113.0,102.0,76.0,148.0,162.0,97.0,139.0,96.0,52.0,13.0,48.0,145.0,70.0,122.0,103.0,64.0,25.0,48.0,109.0,90.0,78.0,57.0,68.0,33.0,103.0,77.0,83.0,53.0,124.0,43.0,49.0,49.0,43.0,35.0,36.0,22.0,16.0,34.0,51.0,44.0,1878.0,50.0,32.0,25.0,18.0,51.0,36.0,32.0,58.0,29.0,21.0,19.0,53.0,140.0,32.0,30.0,48.0,0.0,32.0,20.0,24.0,54.0,18.0,10.0,10.0,17.0,21.0,-30.0,19.0,32.0,11.0,20.0,-30.0,18.0,15.0,14.0,8.0,10.0,6.0,9.0,9.0,-16.0,10.0,0.0,0.0,22.0,10.0,13.0,-6.0,6.0,10.0,6.0,2.0,31.0,6.0,10.0,-4.0,9.0,3.0,3.0,0.0,8.0,-39.0,7.0,8.0,3.0,3.0,7.0,7.0,15.0,8.0,7.0,5.0,4.0,1.0,25.0,11.0,6.0,9.0,4.0,4.0,3.0,8.0,11.0,3.0,4.0,3.0,2.0,1.0,8.0,6.0,10.0,7.0,5.0,2.0,1.0,10.0,2.0,5.0,3.0,2.0,1.0,2.0,7.0,3.0,15.0,3.0,5.0,3.0,0.0,7.0,22.0,6.0,5.0,1.0,5.0,4.0,13.0,17.0,17.0,10.0,7.0,3.0,7.0,13.0,23.0,12.0,7.0,11.0,3.0,3.0,19.0,7.0,19.0,11.0,9.0,4.0,11.0,20.0,21.0,19.0,25.0,28.0,17.0,12.0,35.0,31.0
36,New York,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,6.0,1.0,17.0,22.0,19.0,73.0,36.0,85.0,97.0,95.0,135.0,238.0,132.0,195.0,236.0,383.0,545.0,629.0,594.0,602.0,607.0,731.0,779.0,799.0,778.0,783.0,757.0,671.0,4556.0,1036.0,482.0,956.0,541.0,670.0,524.0,932.0,501.0,727.0,448.0,372.0,563.0,303.0,466.0,346.0,316.0,243.0,264.0,405.0,293.0,256.0,668.0,221.0,200.0,130.0,170.0,208.0,251.0,222.0,320.0,223.0,166.0,120.0,130.0,217.0,112.0,94.0,102.0,169.0,86.0,165.0,73.0,153.0,81.0,110.0,64.0,109.0,98.0,51.0,51.0,172.0,45.0,44.0,94.0,43.0,41.0,84.0,38.0,178.0,37.0,30.0,10.0,76.0,28.0,35.0,41.0,68.0,42.0,51.0,56.0,25.0,44.0,41.0,26.0,0.0,35.0,303.0,337.0,43.0,51.0,20.0,49.0,13.0,24.0,8.0,32.0,28.0,32.0,7.0,45.0,13.0,19.0,19.0,17.0,15.0,5.0,23.0,20.0,32.0,36.0,2.0,23.0,11.0,15.0,8.0,13.0,17.0,6.0,5.0,16.0,9.0,16.0,19.0,2.0,4.0,8.0,6.0,7.0,6.0,8.0,19.0,13.0,6.0,7.0,6.0,11.0,8.0,0.0,1.0,5.0,12.0,13.0,22.0,3.0,5.0,8.0,6.0,11.0,6.0,9.0,6.0,4.0,6.0,5.0,7.0,8.0,15.0,0.0,0.0,2.0,4.0,2.0,5.0,8.0,19.0,18.0,6.0,0.0,6.0,3.0,0.0,0.0,25.0,7.0,3.0,6.0,9.0,4.0,9.0,20.0,26.0,0.0,6.0,9.0,5.0,7.0,54.0,10.0,3.0,1.0,7.0,5.0,12.0,19.0,0.0,10.0,11.0,11.0,3.0,21.0,15.0,10.0,0.0,4.0,2.0,9.0,2.0,52.0,19.0,13.0,16.0,4.0,4.0,94.0,20.0,16.0,7.0,14.0,11.0,2.0,9.0,3.0,9.0,10.0,6.0,186.0,14.0,3.0
37,North Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,4.0,5.0,5.0,9.0,6.0,5.0,10.0,6.0,10.0,13.0,5.0,3.0,1.0,22.0,9.0,18.0,17.0,26.0,10.0,9.0,19.0,25.0,23.0,14.0,13.0,11.0,18.0,17.0,23.0,17.0,25.0,13.0,12.0,3.0,8.0,30.0,20.0,21.0,17.0,22.0,13.0,11.0,25.0,25.0,16.0,26.0,9.0,10.0,7.0,0.0,33.0,2.0,39.0,3.0,6.0,6.0,11.0,43.0,26.0,49.0,10.0,8.0,11.0,13.0,38.0,15.0,9.0,13.0,4.0,9.0,27.0,24.0,14.0,15.0,6.0,5.0,2.0,29.0,12.0,7.0,17.0,14.0,8.0,3.0,28.0,20.0,19.0,13.0,15.0,4.0,3.0,18.0,29.0,18.0,10.0,0.0,7.0,2.0,19.0,21.0,18.0,17.0,16.0,9.0,9.0,33.0,16.0,20.0,18.0,23.0,5.0,8.0,26.0,30.0,28.0,20.0,32.0,7.0,5.0,30.0,43.0,46.0,21.0,0.0,44.0,13.0,26.0,40.0,44.0,40.0,27.0,8.0,4.0,33.0,44.0,38.0,24.0,0.0,34.0,3.0,47.0,34.0,34.0,0.0,56.0,10.0,4.0,35.0,37.0,24.0,24.0,31.0,9.0,10.0,38.0,38.0,23.0,0.0,83.0,3.0,8.0,13.0,50.0,33.0,33.0,24.0,5.0,0.0,59.0,38.0,31.0,27.0,25.0,9.0,6.0,39.0,30.0,40.0,53.0,31.0,1.0,5.0,49.0,38.0,47.0,27.0,21.0,5.0,3.0,33.0,23.0,29.0,26.0,16.0,6.0,3.0,43.0,41.0,18.0,36.0,18.0,12.0,5.0,52.0,40.0,49.0,0.0,62.0,13.0,12.0,39.0,36.0,36.0,51.0,46.0,5.0,7.0,64.0,51.0,39.0,36.0,23.0,2.0,7.0,46.0,38.0,8.0,13.0,34.0,49.0,8.0,38.0,47.0
